mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
4.71 3 2.509e-01 2.692e-05 1.066e-05 4.925e-10 1.208e-14 4.609e-10 
4.71 4 2.544e-01 2.967e-05 1.100e-05 4.435e-10 1.354e-14 4.089e-10 
4.81 1 2.494e-01 2.585e-05 1.048e-05 5.139e-10 1.151e-14 4.835e-10 
4.81 2 2.511e-01 2.699e-05 1.067e-05 4.915e-10 1.212e-14 4.598e-10 
4.81 3 2.509e-01 2.687e-05 1.066e-05 4.930e-10 1.205e-14 4.615e-10 
4.81 4 2.543e-01 2.959e-05 1.098e-05 4.448e-10 1.349e-14 4.102e-10 
4.91 1 2.494e-01 2.583e-05 1.047e-05 5.143e-10 1.150e-14 4.840e-10 
4.91 2 2.510e-01 2.696e-05 1.066e-05 4.923e-10 1.210e-14 4.606e-10 
4.91 3 2.509e-01 2.684e-05 1.065e-05 4.938e-10 1.203e-14 4.623e-10 
4.91 4 2.542e-01 2.952e-05 1.097e-05 4.460e-10 1.346e-14 4.115e-10 
5.01 1 2.494e-01 2.581e-05 1.047e-05 5.148e-10 1.149e-14 4.844e-10 
5.01 2 2.510e-01 2.690e-05 1.066e-05 4.929e-10 1.207e-14 4.613e-10 
5.01 3 2.508e-01 2.680e-05 1.065e-05 4.945e-10 1.201e-14 4.630e-10 
5.01 4 2.541e-01 2.944e-05 1.096e-05 4.474e-10 1.342e-14 4.130e-10 
5.11 1 2.493e-01 2.579e-05 1.047e-05 5.152e-10 1.148e-14 4.849e-10 
5.11 2 2.509e-01 2.685e-05 1.066e-05 4.936e-10 1.204e-14 4.621e-10 
5.11 3 2.508e-01 2.677e-05 1.064e-05 4.952e-10 1.200e-14 4.638e-10 
5.11 4 2.540e-01 2.936e-05 1.095e-05 4.487e-10 1.337e-14 4.143e-10 
5.21 1 2.493e-01 2.577e-05 1.046e-05 5.156e-10 1.147e-14 4.853e-10 
5.21 2 2.509e-01 2.681e-05 1.065e-05 4.944e-10 1.202e-14 4.629e-10 
5.21 3 2.507e-01 2.673e-05 1.064e-05 4.959e-10 1.198e-14 4.645e-10 
5.21 4 2.539e-01 2.929e-05 1.094e-05 4.500e-10 1.333e-14 4.156e-10 
5.31 1 2.493e-01 2.576e-05 1.046e-05 5.160e-10 1.146e-14 4.858e-10 
5.31 2 2.508e-01 2.677e-05 1.064e-05 4.952e-10 1.200e-14 4.637e-10 
5.31 3 2.507e-01 2.670e-05 1.063e-05 4.966e-10 1.196e-14 4.653e-10 
5.31 4 2.539e-01 2.921e-05 1.093e-05 4.512e-10 1.329e-14 4.170e-10 
5.41 1 2.493e-01 2.574e-05 1.046e-05 5.165e-10 1.145e-14 4.862e-10 
5.41 2 2.508e-01 2.673e-05 1.064e-05 4.960e-10 1.198e-14 4.646e-10 
5.41 3 2.506e-01 2.666e-05 1.062e-05 4.973e-10 1.194e-14 4.660e-10 
5.41 4 2.538e-01 2.914e-05 1.091e-05 4.525e-10 1.326e-14 4.184e-10 
5.51 1 2.492e-01 2.572e-05 1.045e-05 5.170e-10 1.144e-14 4.868e-10 
